plant_id,component_id,component_type,component_name,install_date,expected_lifespan_years,current_condition_score,replacement_cost_usd,overhaul_cost_usd,degradation_rate_pct_per_year,deferred_maintenance_penalty_pct,failure_probability_model,mtbf_hours,linked_sustainment_id,notes
PLANT_GASTON_U2,COMP-NU2-GEN-001,generator,Main Generator Unit 2,2000-08-20,40,58,85000000,18000000,1.2,0.4,weibull,120000,,Hydrogen-cooled; scheduled for stator rewind 2028
PLANT_GASTON_U2,COMP-NU2-RCP-001,reactor_coolant_pump,RCP Train A,2000-08-20,30,62,12000000,3500000,1.5,0.6,linear,80000,,Vibration trending upward; monitoring closely
PLANT_GASTON_U2,COMP-NU2-RCP-002,reactor_coolant_pump,RCP Train B,2000-08-20,30,65,12000000,3500000,1.5,0.6,linear,80000,,Normal wear patterns
PLANT_GASTON_U2,COMP-NU2-XFMR-001,transformer,Main Step-Up Transformer,2000-08-20,45,71,25000000,5000000,0.8,0.3,exponential,200000,,DGA trending normal; last oil change 2023
plant_gpc-vogtle-3_f743db,COMP-V3-GEN-001,generator,Main Generator,2015-06-01,40,82,95000000,22000000,1.0,0.4,weibull,130000,,Upgraded exciter in 2022
plant_gpc-vogtle-3_f743db,COMP-V3-TURB-001,turbine,HP Turbine,2015-06-01,35,78,45000000,12000000,1.3,0.5,weibull,90000,,Last inspection: minor blade erosion noted
plant_gpc-vogtle-3_f743db,COMP-V3-COND-001,condenser,Main Condenser,2015-06-01,50,85,18000000,4000000,0.6,0.2,linear,250000,,Tube plugging at 2.1%
PLANT_DAHLBERG_CT_135,COMP-CT135-GT-001,gas_turbine,Combustion Turbine Unit 1,2020-10-25,25,94,32000000,8000000,1.8,0.7,weibull,60000,,Frame 7FA; hot gas path inspection due 2026
PLANT_DAHLBERG_CT_135,COMP-CT135-GT-003,gas_turbine,Combustion Turbine Unit 3,2020-10-25,25,92,32000000,8000000,1.8,0.7,weibull,60000,,Frame 7FA; 12000 fired hours
PLANT_DAHLBERG_CT_135,COMP-CT135-HRSG-001,hrsg,Heat Recovery Steam Generator 1,2020-10-25,30,91,22000000,5500000,1.2,0.4,linear,100000,,Duct burner operational
plant_gpc-mcintosh-10-11_5a49a9,COMP-MCI-GT-010,gas_turbine,Combustion Turbine Unit 10,2015-09-01,25,65,28000000,7000000,2.0,0.8,weibull,55000,,Older frame; combustor liners showing wear
plant_gpc-mcintosh-10-11_5a49a9,COMP-MCI-GEN-010,generator,Generator Unit 10,2015-09-01,35,68,15000000,4000000,1.4,0.5,linear,85000,,Rotor rewind recommended within 3 years
plant_eia-10022-0_7eb25e,COMP-CL10-BOIL-001,boiler,Main Boiler Unit A,2016-04-19,40,52,65000000,15000000,1.6,0.6,linear,70000,,Tube wall thinning; increased inspection frequency
plant_eia-10022-0_7eb25e,COMP-CL10-TURB-001,turbine,HP/IP Turbine,2016-04-19,35,55,40000000,10000000,1.5,0.5,weibull,75000,,Blade erosion; overhaul planned 2027
plant_eia-10022-0_7eb25e,COMP-CL10-GEN-001,generator,Main Generator,2016-04-19,40,58,22000000,5500000,1.2,0.4,exponential,95000,,Stator wedge loosening detected
plant_gpc-bartletts-ferry-5-6_58bb51,COMP-BF-TURB-005,turbine,Francis Turbine Unit 5,1977-02-25,60,70,8000000,2000000,0.7,0.3,linear,180000,,Runner cavitation repairs completed 2021
plant_gpc-bartletts-ferry-5-6_58bb51,COMP-BF-TURB-006,turbine,Francis Turbine Unit 6,1977-02-25,60,68,8000000,2000000,0.7,0.3,linear,180000,,Wicket gate bushing wear noted
plant_gpc-bartletts-ferry-5-6_58bb51,COMP-BF-GEN-005,generator,Generator Unit 5,1977-02-25,50,72,6000000,1500000,0.9,0.3,exponential,150000,,Rewind completed 2018
plant_eia-10018-0_66d132,COMP-SOL20-INV-001,inverter,Central Inverter Bank A,2020-12-30,15,88,4500000,800000,2.5,0.8,linear,50000,,900 MW utility-scale; inverter firmware updated 2024
plant_eia-10018-0_66d132,COMP-SOL20-INV-002,inverter,Central Inverter Bank B,2020-12-30,15,86,4500000,800000,2.5,0.8,linear,50000,,Thermal management system nominal
