component_id,project_id,component_name,vendor,alt_vendors,lead_time_days_p50,lead_time_days_p90,expedite_days,on_critical_path,dependent_milestone_id,notes,_key,component_owner_id,component_owner_name,component_progress_pct,status,last_update_utc,component_cost_usd,expedite_cost_usd
SC_BESS-PV-COLOC-200-200_PV_modules,BESS-PV-COLOC-200-200,PV modules,,,120,210,18,TRUE,MS_BESS-PV-COLOC-200-200_procurement,solar / WECC,bess-pv-coloc-200-200,RES::SCM_LEAD,Supply Chain Lead,0,Planned,2025-10-22T20:43:44Z,24000000,3600000
SC_BESS-PV-COLOC-200-200_Inverters,BESS-PV-COLOC-200-200,Inverters,,,180,270,27,TRUE,MS_BESS-PV-COLOC-200-200_procurement,solar / WECC,bess-pv-coloc-200-200,RES::ELEC_LEAD,Electrical Lead,0,Planned,2025-10-22T20:43:44Z,8000000,1200000
SC_BESS-PV-COLOC-200-200_Tracker_syst,BESS-PV-COLOC-200-200,Tracker system,,,150,240,22,TRUE,MS_BESS-PV-COLOC-200-200_procurement,solar / WECC,bess-pv-coloc-200-200,RES::WIND_LEAD,Wind Lead,0,Planned,2025-10-22T20:43:44Z,12000000,1800000
SC_BESS-PV-COLOC-200-200_Main_power_t,BESS-PV-COLOC-200-200,Main power transformer,,,1080,1560,162,TRUE,MS_BESS-PV-COLOC-200-200_procurement,solar / WECC,bess-pv-coloc-200-200,RES::ELEC_LEAD,Electrical Lead,0,Planned,2025-10-22T20:43:44Z,3500000,700000
SC_Cape_Wind_new_build_WTG_nacelles,Cape_Wind_new_build,WTG nacelles & blades,,,270,420,40,TRUE,Cape_Wind_new_build_procurement,wind / MISO,cape_wind_new_build,RES::WIND_LEAD,Wind Lead,0,Planned,2025-10-22T20:43:44Z,135000000,20250000
SC_Cape_Wind_new_build2_Towers,Cape_Wind_new_build,Towers,,,180,270,27,TRUE,Cape_Wind_new_build_procurement,wind / MISO,cape_wind_new_build,RES::WIND_LEAD,Wind Lead,0,Planned,2025-10-22T20:43:44Z,45000000,6750000
SC_Cape_Wind_new_build_Padmount/col,Cape_Wind_new_build,Padmount/collector transformers,,,540,900,81,TRUE,Cape_Wind_new_build_procurement,wind / MISO,cape_wind_new_build,RES::ELEC_LEAD,Electrical Lead,0,Planned,2025-10-22T20:43:44Z,8500000,1700000
SC_ppa_dahlberg_1_3_5_Gas_turbine_,ppa_dahlberg_1_3_5,Gas turbine package,,,360,540,54,TRUE,MS_ppa_dahlberg_1_3_5_procurement,gas / SERC,ppa_dahlberg_1_3_5,RES::MECH_LEAD,Mechanical Lead,0,Planned,2025-10-22T20:43:44Z,65000000,9750000
SC_ppa_dahlberg_1_3_5_HRSG_modules,ppa_dahlberg_1_3_5,HRSG modules,,,270,420,40,TRUE,MS_ppa_dahlberg_1_3_5_procurement,gas / SERC,ppa_dahlberg_1_3_5,RES::SCM_LEAD,Supply Chain Lead,0,Planned,2025-10-22T20:43:44Z,12000000,1800000
SC_ppa_dahlberg_1_3_5_Generator_st,ppa_dahlberg_1_3_5,Generator step-up transformer (GSU),,,1080,1560,162,TRUE,MS_ppa_dahlberg_1_3_5_procurement,gas / SERC,ppa_dahlberg_1_3_5,RES::ELEC_LEAD,Electrical Lead,0,Planned,2025-10-22T20:43:44Z,4200000,840000
SC_ppa_dahlberg_1_3_5_Main_power_t,ppa_dahlberg_1_3_5,Main power transformer,,,1080,1560,162,TRUE,MS_ppa_dahlberg_1_3_5_procurement,gas / SERC,ppa_dahlberg_1_3_5,RES::ELEC_LEAD,Electrical Lead,0,Planned,2025-10-22T20:43:44Z,5500000,1100000
SC_proj_009_Steam_turbin,proj_009,Steam turbine-generator,,,480,720,72,TRUE,MS_proj_009_procurement,coal / ERCOT,proj_009,RES::MECH_LEAD,Mechanical Lead,0,Planned,2025-10-22T20:43:44Z,28000000,4200000
SC_proj_009_Boiler_press,proj_009,Boiler pressure parts,,,360,540,54,TRUE,MS_proj_009_procurement,coal / ERCOT,proj_009,RES::MECH_LEAD,Mechanical Lead,0,Planned,2025-10-22T20:43:44Z,18000000,2700000
SC_proj_009_FGD/SCR_equi,proj_009,FGD/SCR equipment,,,270,420,40,TRUE,MS_proj_009_procurement,coal / ERCOT,proj_009,RES::SCM_LEAD,Supply Chain Lead,0,Planned,2025-10-22T20:43:44Z,15000000,2250000
SC_proj_009_Main_power_t,proj_009,Main power transformer,,,1080,1560,162,TRUE,MS_proj_009_procurement,coal / ERCOT,proj_009,RES::ELEC_LEAD,Electrical Lead,0,Planned,2025-10-22T20:43:44Z,4500000,900000
