constraint_id,scope,plant_id,plant_name,region,fuel,constraint_type,constraint_name,pattern,value,target,effective_from,effective_to,compliance_cost_$,enforcement_risk,notes
plant_gpc-bartletts-ferry-5-6_58bb51__general_env_review,plant,plant_gpc-bartletts-ferry-5-6_58bb51,Bartletts Ferry 5&6,NEISO,hydro,Environmental,General environmental review buffer,buffer_days,2,milestone,1/1/2025,12/31/2029,,Medium,Default small buffer for site environmental review.
plant_southern-power-gpc-sinclair_de80ca__bat_migration_blackout,plant,plant_southern-power-gpc-sinclair_de80ca,Cape Wind,SPP,wind,Wildlife,Bat migration curtailment,blackout,22:00-06:00; Aug01-Oct15,milestone,1/1/2025,12/31/2029,150000,Medium,Nighttime curtailment during bat migration season.
plant_southern-power-gpc-sinclair_de80ca__domestic_content_surcharge,plant,plant_southern-power-gpc-sinclair_de80ca,Cape Wind,SPP,wind,Trade/Content,Domestic content premium,cost_adder,0.05,supply_chain,1/1/2025,12/31/2029,,Medium,Prefer domestic components; cost premium expectation ~5%.
PLANT_DAHLBERG_CT_135__ozone_season_derate_gas,plant,PLANT_DAHLBERG_CT_135,Dahlberg CTs 1/3/5,SPP,gas,Air,Ozone-season NOx derate,derate_pct,0.05,milestone,1/1/2025,12/31/2029,,Medium,June through Aug expected derate 5% on combustion activities.
PLANT_DAHLBERG_CT_135__pipeline_coordination_notice,plant,PLANT_DAHLBERG_CT_135,Dahlberg CTs 1/3/5,SPP,gas,Interconnection,Pipeline maintenance coordination,permit_gate,notice>=30d,milestone,1/1/2025,12/31/2029,,Medium,Certain outages require 30-day notice to gas pipeline operator.
plant_gpc-mcintosh-10-11_5a49a9__ozone_season_derate_gas,plant,plant_gpc-mcintosh-10-11_5a49a9,McIntosh 10-11,MISO,gas,Air,Ozone-season NOx derate,derate_pct,0.05,milestone,1/1/2025,12/31/2029,,Medium,June–Aug expected derate 5% on combustion activities.
plant_gpc-mcintosh-10-11_5a49a9__pipeline_coordination_notice,plant,plant_gpc-mcintosh-10-11_5a49a9,McIntosh 10-11,MISO,gas,Interconnection,Pipeline maintenance coordination,permit_gate,notice>=30d,milestone,1/1/2025,12/31/2029,,Medium,Certain outages require 30-day notice to gas pipeline operator.
plant_eia-10020-0_6bff7e__prevailing_wage,plant,plant_eia-10020-0_6bff7e,Mountain Solar,NEISO,solar,Labor,Prevailing wage requirement,rate_multiplier,elec_crew:1.15; mech_crew:1.10,resource,1/1/2025,12/31/2029,,Medium,Apply multipliers to labor rates by craft.
plant_eia-10020-0_6bff7e__domestic_content_surcharge,plant,plant_eia-10020-0_6bff7e,Mountain Solar,NEISO,solar,Trade/Content,Domestic content premium,cost_adder,0.05,supply_chain,1/1/2025,12/31/2029,,Medium,Module/inverter domestic preference.
plant_doe-lpo-nan_6ec756__general_env_review,plant,plant_doe-lpo-nan_6ec756,Plant 1,MISO,hydro,Environmental,General environmental review buffer,buffer_days,2,milestone,1/1/2025,12/31/2029,,Medium,Default small buffer for site environmental review.
plant_eia-10011-0_9f15f6__general_env_review,plant,plant_eia-10011-0_9f15f6,Plant 11,NEISO,Hydro,Environmental,General environmental review buffer,buffer_days,2,milestone,1/1/2025,12/31/2029,,Medium,Default small buffer for site environmental review.
plant_eia-10015-0_0e2230__bat_migration_blackout,plant,plant_eia-10015-0_0e2230,Plant 17,MISO,wind,Wildlife,Bat migration curtailment,blackout,22:00-06:00; Aug01-Oct15,milestone,1/1/2025,12/31/2029,150000,Medium,Nighttime curtailment during bat migration season.
plant_eia-10015-0_0e2230__domestic_content_surcharge,plant,plant_eia-10015-0_0e2230,Plant 17,MISO,wind,Trade/Content,Domestic content premium,cost_adder,0.05,supply_chain,1/1/2025,12/31/2029,,Medium,Prefer domestic components; cost premium expectation ~5%.
